name,artist,playlist_id,playlist_name
Se Eu Quiser Falar Com Deus                                                                                                                                                      ,Gilberto Gil                                    ,101,Mellow Acoustic 3
Saudade De Bahia                                                                                                                                                                 ,Antônio Carlos Jobim                            ,9,Mellow Acoustic 2
"Canta Canta, Minha Gente                                                                                                                                                       ",Martinho Da Vila                                ,170,Feel-Good Dance 2
Mulher Eu Sei                                                                                                                                                                    ,Chico César                                     ,210,Acoustic Chill 3
Rosa Morena                                                                                                                                                                      ,Kurt Elling                                     ,14,Acoustic Chill
Desafinado                                                                                                                                                                       ,Stan Getz                                       ,210,Acoustic Chill 3
Madalena                                                                                                                                                                         ,Maria Gasolina                                  ,101,Mellow Acoustic 3
O Meu Amor É Glòria                                                                                                                                                              ,Sílvia Pérez Cruz                               ,200,Happy Grooves
Brigas Nunca Mais                                                                                                                                                                ,Paula Morelenbaum                               ,200,Happy Grooves
Previsao                                                                                                                                                                         ,Bossacucanova                                   ,9,Mellow Acoustic 2
The Girl From Ipanema                                                                                                                                                            ,Stan Getz                                       ,14,Acoustic Chill
Blue Bossa - Remastered                                                                                                                                                          ,Joe Henderson                                   ,101,Mellow Acoustic 3
Aqua De Coco                                                                                                                                                                     ,Marcos Valle                                    ,101,Mellow Acoustic 3
Samba de Verão                                                                                                                                                                   ,Marcos Valle                                    ,9,Mellow Acoustic 2
Mas Que Nada                                                                                                                                                                     ,Rio Combo                                       ,190,Upbeat Grooves 3
Nova Bossa Nova                                                                                                                                                                  ,Marcos Valle                                    ,200,Happy Grooves
Não Sei                                                                                                                                                                          ,Sílvia Pérez Cruz                               ,18,Acoustic Chill 2
A Força Que Nunca Seca (feat. Maria Bethânia)                                                                                                                                    ,Chico César                                     ,210,Acoustic Chill 3
Aquarela Do Brasil                                                                                                                                                               ,Carlos Barbosa-Lima                             ,100,Acoustic Instrumentals 3
Brigas Nunca Mais                                                                                                                                                                ,Brazilian Jazz                                  ,6,Acoustic Instrumentals
Águas De Março                                                                                                                                                                   ,Antônio Carlos Jobim                            ,9,Mellow Acoustic 2
Aquarela Do Brasil                                                                                                                                                               ,Voyager                                         ,22,Acoustic Instrumentals 2
Chega De Saudade                                                                                                                                                                 ,João Gilberto                                   ,7,Mellow Acoustic
Don't Stop the Carnival                                                                                                                                                          ,Sonny Rollins                                   ,9,Mellow Acoustic 2
Rebel Rebel                                                                                                                                                                      ,Seu Jorge                                       ,18,Acoustic Chill 2
Rosa Morena - Live At Carnegie Hall/1964                                                                                                                                         ,Stan Getz                                       ,14,Acoustic Chill
Karoliina Kaunis                                                                                                                                                                 ,Maria Gasolina                                  ,101,Mellow Acoustic 3
"Brigas, Nunca Mais                                                                                                                                                             ",João Gilberto                                   ,9,Mellow Acoustic 2
Aquarela Do Brasil                                                                                                                                                               ,Gal Costa                                       ,9,Mellow Acoustic 2
Kaipuusamba                                                                                                                                                                      ,Maria Gasolina                                  ,14,Acoustic Chill
Batida Diferente                                                                                                                                                                 ,Cannonball Adderley                             ,22,Acoustic Instrumentals 2
Team Zissou                                                                                                                                                                      ,Seu Jorge                                       ,200,Happy Grooves
Parabens                                                                                                                                                                         ,Marcos Valle                                    ,31,Upbeat Grooves 2
O Amor Em Paz                                                                                                                                                                    ,Cannonball Adderley                             ,100,Acoustic Instrumentals 3
Once Again                                                                                                                                                                       ,Stan Getz                                       ,14,Acoustic Chill
Mariana                                                                                                                                                                          ,Bïa                                             ,101,Mellow Acoustic 3
Mariana                                                                                                                                                                          ,Seu Jorge                                       ,101,Mellow Acoustic 3
Carnaval Inesquecível Na Cidade Alta                                                                                                                                             ,Mundo Livre S/A                                 ,170,Feel-Good Dance 2
Garota De Ipanema                                                                                                                                                                ,Leila Pinheiro                                  ,14,Acoustic Chill
Corcovado - Remastered                                                                                                                                                           ,Cannonball Adderley                             ,200,Happy Grooves
O Pato (The Duck) - Live At Carnegie Hall/1964                                                                                                                                   ,João Gilberto                                   ,6,Acoustic Instrumentals
August Day Song                                                                                                                                                                  ,Bebel Gilberto                                  ,18,Acoustic Chill 2
Os Grilos                                                                                                                                                                        ,Marcos Valle                                    ,201,Feel-Good Dance 4
Saudade Fez Um Samba                                                                                                                                                             ,João Gilberto                                   ,9,Mellow Acoustic 2
OBI                                                                                                                                                                              ,Toots Thielemans                                ,18,Acoustic Chill 2
Mas Que Nada                                                                                                                                                                     ,Jorge Ben Jor                                   ,7,Mellow Acoustic
Laia Ladia                                                                                                                                                                       ,Brazilian Jazz                                  ,211,Upbeat Grooves 4
Triste                                                                                                                                                                           ,Brazilian Jazz                                  ,6,Acoustic Instrumentals
Só Danço Samba                                                                                                                                                                   ,Stan Getz                                       ,200,Happy Grooves
Samba Triste                                                                                                                                                                     ,Stan Getz                                       ,101,Mellow Acoustic 3
País Tropical                                                                                                                                                                    ,Wilson Simonal                                  ,9,Mellow Acoustic 2
Coracao Vagabundo                                                                                                                                                                ,Toots Thielemans                                ,14,Acoustic Chill
Pais Tropical                                                                                                                                                                    ,Sergio Mendes & Brasil '66                      ,9,Mellow Acoustic 2
Life On Mars?                                                                                                                                                                    ,Seu Jorge                                       ,14,Acoustic Chill
Apelo                                                                                                                                                                            ,Brazilian Jazz                                  ,100,Acoustic Instrumentals 3
"O Que É, O Que É                                                                                                                                                               ",Cesar Camargo Mariano & Romero Lubambo          ,22,Acoustic Instrumentals 2
Maroca                                                                                                                                                                           ,Mundo Livre                                     ,191,Feel-Good Dance 3
Apelo                                                                                                                                                                            ,Jenny Chi                                       ,210,Acoustic Chill 3
Samba Da Minha Terra - Live At Carnegie Hall/1964                                                                                                                                ,Stan Getz                                       ,101,Mellow Acoustic 3
Corcovado                                                                                                                                                                        ,Stan Getz                                       ,18,Acoustic Chill 2
Chega de Saudade                                                                                                                                                                 ,Jenny Chi                                       ,9,Mellow Acoustic 2
Coisa Feita                                                                                                                                                                      ,Toots Thielemans                                ,22,Acoustic Instrumentals 2
Felicia and Bianca                                                                                                                                                               ,Toots Thielemans                                ,7,Mellow Acoustic
Rosa Morena                                                                                                                                                                      ,Dorival Caymmi                                  ,7,Mellow Acoustic
Insensatez                                                                                                                                                                       ,Stan Getz                                       ,22,Acoustic Instrumentals 2
Menina Moca                                                                                                                                                                      ,Stan Getz                                       ,7,Mellow Acoustic
So Nice (Summer Samba)                                                                                                                                                           ,Marcos Valle                                    ,200,Happy Grooves
Santa Maria de Feira                                                                                                                                                             ,Devendra Banhart                                ,9,Mellow Acoustic 2
Já Sei Namorar - 2004 Digital Remaster                                                                                                                                           ,Tribalistas                                     ,101,Mellow Acoustic 3
Blue Bossa                                                                                                                                                                       ,Tete Montoliu                                   ,22,Acoustic Instrumentals 2
Aguas De Março                                                                                                                                                                   ,Tempo Rei                                       ,7,Mellow Acoustic
Bossa Dorado                                                                                                                                                                     ,Pete Krebs & The Kung Pao Chi                   ,9,Mellow Acoustic 2
Orange Afternoon                                                                                                                                                                 ,Bebe                                            ,200,Happy Grooves
Homens                                                                                                                                                                           ,Manu Chao                                       ,101,Mellow Acoustic 3
"Lisboa, Menina E Moça                                                                                                                                                          ",Som Ibérico                                     ,100,Acoustic Instrumentals 3
Lisboa menina e moça                                                                                                                                                             ,Various Artists                                 ,101,Mellow Acoustic 3
Para Machuchar Meu Coracao                                                                                                                                                       ,Stan Getz                                       ,210,Acoustic Chill 3
Esperando Na Janela - Versão Acústica                                                                                                                                            ,Gilberto Gil                                    ,210,Acoustic Chill 3
Água de beber                                                                                                                                                                    ,Tania Maria                                     ,200,Happy Grooves
Mama África                                                                                                                                                                      ,Chico César                                     ,7,Mellow Acoustic
Á Primeira Vista                                                                                                                                                                 ,Chico César                                     ,14,Acoustic Chill
Tambores                                                                                                                                                                         ,Chico César                                     ,9,Mellow Acoustic 2
Guarda-me A Vida Na Mão                                                                                                                                                          ,Ana Moura                                       ,18,Acoustic Chill 2
A Prosa Impúrpura do Caicó                                                                                                                                                       ,Chico César                                     ,210,Acoustic Chill 3
Paraíba                                                                                                                                                                          ,Chico César                                     ,7,Mellow Acoustic
Berekerê - Voice                                                                                                                                                                 ,Geraldo Azevedo                                 ,7,Mellow Acoustic
Pagode da Saidera                                                                                                                                                                ,Martinho Da Vila                                ,200,Happy Grooves
Disfarça e Chora                                                                                                                                                                 ,Djavan                                          ,210,Acoustic Chill 3
Tudo isto é fado                                                                                                                                                                 ,Quatro Ventos                                   ,210,Acoustic Chill 3
Quando Te Vi                                                                                                                                                                     ,Luisa Sobral                                    ,14,Acoustic Chill
Sr. Vinho                                                                                                                                                                        ,Luisa Sobral                                    ,210,Acoustic Chill 3
Inês                                                                                                                                                                             ,Luisa Sobral                                    ,210,Acoustic Chill 3
Seja Agora                                                                                                                                                                       ,Deolinda                                        ,200,Happy Grooves
Algo Novo                                                                                                                                                                        ,Deolinda                                        ,9,Mellow Acoustic 2
Pois Foi                                                                                                                                                                         ,Deolinda                                        ,18,Acoustic Chill 2
Há-De Passar                                                                                                                                                                     ,Deolinda                                        ,210,Acoustic Chill 3
Xico                                                                                                                                                                             ,Luisa Sobral                                    ,200,Happy Grooves
O Engraxador                                                                                                                                                                     ,Luisa Sobral                                    ,14,Acoustic Chill
Clandestino                                                                                                                                                                      ,Chico César                                     ,7,Mellow Acoustic
Trem das Onze                                                                                                                                                                    ,Demonios Da Garoa                               ,7,Mellow Acoustic
Chove Chuva                                                                                                                                                                      ,Jorge Ben Jor                                   ,200,Happy Grooves
Menina Mulher Da Pele Preta                                                                                                                                                      ,Jorge Ben Jor                                   ,7,Mellow Acoustic
